Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.35134102009775975,0.004525394823251519
NAWG0051,0.350595079091217,0.004788498428628075
NACW0S01,0.7171098339235253,0.0038208491824726623
NDMA5790,0.3522103277447133,0.005928367370970062
NAWG0050,0.3514633840325576,0.004500546980707264
NDWDBT0M,0.5313680385743362,0.0034892843158596185
NDMA5740,0.5700488556322287,0.0035772855044082412
NDWDBT0I,0.5314754974042161,0.003251438458713869
NACAH030,1.0284430788220043,0.4859033758717046
NDWDBT0G,0.5313173960839493,0.003273836205494574
NACAH040,0.8854212179633753,0.4445224792941726
NACAH050,0.9728819202608118,0.4562636954643472
NDWDBT0K,0.5313730215226395,0.0039891058213329025
NDMA5715,0.06541827256075833,0.009977644488075242
