Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.005916680261778555,0.0022174799490203034
NAWG0051,0.006441402315772049,0.002591134886021387
NACW0S01,0.017938125101275158,0.00751039318257263
NDMA5790,0.016258341431847016,0.0070211278941819414
NAWG0050,0.006075249030126597,0.0026558776474297366
NDWDBT0M,0.008337181092109774,0.0077793434982788385
NDMA5740,0.011850042871813323,0.008000626335093826
NDWDBT0I,0.010855874328812862,0.007438205155398804
NACAH030,1.0301371527351508,0.5143310930668104
NDWDBT0G,0.011245719796477758,0.0072077212541879114
NACAH040,0.8946265965725317,0.4446270378422248
NACAH050,0.9665957576778988,0.48181805671508093
NDWDBT0K,0.009751499096586671,0.007690096653169901
NDMA5715,0.00456654007279544,0.003597208190882489
