Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.016040306320217527,0.001810986822529829
NAWG0051,0.016110051301147444,0.001894340253737471
NACW0S01,0.04106583830470534,0.0025776186866561146
NDMA5790,0.040570953250160614,0.0028112305383574537
NAWG0050,0.016320882439921497,0.002178053215961266
NDWDBT0M,0.029518309751628138,0.0029297629638384936
NDMA5740,0.03071383485166539,0.002359648908733341
NDWDBT0I,0.029510978380320765,0.00277471377645248
NACAH030,1.0250526948166618,0.5022260207533
NDWDBT0G,0.029648532787440517,0.0028569205862565305
NACAH040,0.8798556022405374,0.44027773764640915
NACAH050,0.9727173558413014,0.45536873195872346
NDWDBT0K,0.02907513014423678,0.002567850752388224
NDMA5715,0.03864760810725185,0.006840407285888262
