Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.011982503166225828,0.0026626444319590545
NAWG0051,0.011990719464447006,0.002430544734941016
NACW0S01,0.017191812959856702,0.003368463106910369
NDMA5790,0.014610967993965546,0.00298535682566689
NAWG0050,0.012189245820353627,0.0029852006606789065
NDWDBT0M,0.015611898819087245,0.002358338548295003
NDMA5740,0.018293098300380596,0.0024758324081301753
NDWDBT0I,0.015821461597560146,0.00238615140811149
NACAH030,1.0392122975148084,0.49609726305287716
NDWDBT0G,0.015885912099955775,0.001715319118974492
NACAH040,0.8925007614929192,0.43814813663246294
NACAH050,0.9899907789368119,0.4603239315748466
NDWDBT0K,0.015478603759883143,0.0019696152522417415
NDMA5715,0.008384947298449595,0.005043975049348366
